,Location,Area,Security,Bedrooms,Price
707,Kukatpally,1905,1,3,9525000
708,Kondapur,1885,0,3,12200000
709,Kondapur,1885,0,3,12300000
710,Kondapur,1885,0,3,12300000
711,other,1560,0,3,8800000
712,other,1190,0,2,6798999
713,Kukatpally,1450,1,3,9300000
714,Kukatpally,1450,1,3,9300000
715,Gajularamaram,1050,0,2,4710000
716,Kondapur,1875,0,3,12000000
717,Gajularamaram,1555,0,3,6931000
718,other,900,0,2,3499000
719,Puppalaguda,1418,0,3,7100000
720,Puppalaguda,1418,0,3,7100000
721,Nizampet,1125,0,2,4800000
722,Nizampet,1515,0,3,5500000
723,Serilingampally,1600,0,3,7500000
724,Serilingampally,1260,0,2,5600000
725,Gachibowli,2848,0,4,19400000
726,Gachibowli,1492,0,2,9908000
727,Gachibowli,1283,0,2,8126000
728,Gachibowli,1410,0,2,9110000
729,Kondapur,2000,0,3,14000000
730,Manikonda,1463,0,3,7000000
731,Kukatpally,1730,0,3,11399999
732,Kondapur,1600,0,3,8500000
733,Manikonda,2600,0,3,17000000
734,West Marredpally,840,0,1,2500000
735,Manikonda,1725,0,3,8600000
736,Banjara Hills,1980,0,3,17800000
737,Banjara Hills,2085,0,3,18700000
738,Banjara Hills,2580,0,3,23200000
739,Banjara Hills,2185,0,3,19600000
740,Banjara Hills,1920,0,3,17200000
741,Banjara Hills,2210,0,3,19800000
742,other,1111,0,3,4500000
743,Nizampet,1161,0,2,4031000
744,other,1500,0,3,6399000
745,other,1500,0,3,6399000
746,Puppalaguda,2021,0,2,8000000
747,Manikonda,1300,0,3,5200000
748,Malkajgiri,1000,0,2,4000000
749,East Marredpally,1060,0,2,7200000
750,Kukatpally,9400,1,8,80000000
751,Nizampet,950,0,2,3200000
752,other,1350,0,3,3800000
753,Nagole,1600,0,3,6000000
754,other,1000,0,2,3500000
755,other,1450,0,3,5000000
756,other,1050,0,2,2800000
757,Mallapur,1150,0,2,3600000
758,Mallapur,1900,0,3,8000000
759,Nizampet,1465,0,3,5034000
760,Nizampet,1228,0,2,4252000
761,Nizampet,1165,0,2,4044000
762,Nizampet,1106,0,2,3849000
763,Mallapur,1315,0,3,3500000
764,West Marredpally,3200,0,3,20000000
765,other,1250,0,3,4800000
766,Toli Chowki,1050,0,2,4500000
767,Mallapur,1900,0,2,8000000
768,Beeramguda,1096,0,2,3800000
769,other,1765,0,3,13500000
770,Puppalaguda,2021,0,2,8000000
771,other,1005,0,2,2700000
772,Mallapur,1750,0,3,6000000
773,Nizampet,1100,0,2,3740000
774,Nizampet,1100,0,2,3740000
